mtry,min_n,.metric,.estimator,mean,n,std_err
1,1,roc_auc,binary,0.9823682847315259,5,0.0030121633820396057
1,2,roc_auc,binary,0.983756454424692,5,0.0019816496334932746
1,3,roc_auc,binary,0.9824904120026616,5,0.002305209015990905
1,4,roc_auc,binary,0.9814027510146549,5,0.0027881916963417614
1,5,roc_auc,binary,0.9817687981403086,5,0.0029807757216275964
1,6,roc_auc,binary,0.9811126586757538,5,0.0032282022351300594
1,7,roc_auc,binary,0.9819151329803004,5,0.002635684124567085
1,8,roc_auc,binary,0.9826964826207335,5,0.002640729556582464
1,9,roc_auc,binary,0.9816739400018731,5,0.0028508131310179124
1,10,roc_auc,binary,0.9826864863058234,5,0.0017897317279344364
2,1,roc_auc,binary,0.9827887063850922,5,0.001702563198416032
2,2,roc_auc,binary,0.9823915596213135,5,0.0026145329046596134
2,3,roc_auc,binary,0.9825300127543324,5,0.002396155847865305
2,4,roc_auc,binary,0.9824750472991649,5,0.0020916317959664968
2,5,roc_auc,binary,0.9817413652701207,5,0.0027384192512401894
2,6,roc_auc,binary,0.98161332850336,5,0.0027238555760201975
2,7,roc_auc,binary,0.9825173963421837,5,0.003134748831940267
2,8,roc_auc,binary,0.9825433269469467,5,0.0031580327465896402
2,9,roc_auc,binary,0.982701566216142,5,0.0028988456079832195
2,10,roc_auc,binary,0.9829953465895204,5,0.0019988484816767446
3,1,roc_auc,binary,0.9824413560431191,5,0.0029659169734921735
3,2,roc_auc,binary,0.982334621954798,5,0.0030656235609340444
3,3,roc_auc,binary,0.9824162869563094,5,0.0034300892915199196
3,4,roc_auc,binary,0.9828843904237442,5,0.0024625947437478288
3,5,roc_auc,binary,0.9827225128659297,5,0.0027142141049983997
3,6,roc_auc,binary,0.983752937191763,5,0.002043148834230132
3,7,roc_auc,binary,0.9833756548636953,5,0.002687773231749815
3,8,roc_auc,binary,0.983112902892968,5,0.0030428703928623746
3,9,roc_auc,binary,0.9824402382113054,5,0.003152709569398088
3,10,roc_auc,binary,0.9826899679210154,5,0.0027487450968450913
4,1,roc_auc,binary,0.9821224068681396,5,0.001946736672965667
4,2,roc_auc,binary,0.9821013533651411,5,0.0019097368834330379
4,3,roc_auc,binary,0.9820036686358233,5,0.0020250022233874346
4,4,roc_auc,binary,0.982843785757531,5,0.002235258879074648
4,5,roc_auc,binary,0.9827134706453454,5,0.0024619997073955296
4,6,roc_auc,binary,0.9825268942318528,5,0.0024544601752435947
4,7,roc_auc,binary,0.9822789943369018,5,0.002882815288290724
4,8,roc_auc,binary,0.9825430634946674,5,0.002651701914900751
4,9,roc_auc,binary,0.9825098492486053,5,0.0028082712325892675
4,10,roc_auc,binary,0.9824503697843855,5,0.0030985229965145313
5,1,roc_auc,binary,0.9804229632133232,5,0.0019442285968285897
5,2,roc_auc,binary,0.9810814166410398,5,0.002202530730922415
5,3,roc_auc,binary,0.9814257196960071,5,0.002850548913582898
5,4,roc_auc,binary,0.9811900090234377,5,0.0022485032289559117
5,5,roc_auc,binary,0.9814367768840953,5,0.002521723670703409
5,6,roc_auc,binary,0.9813036565219262,5,0.002069844977551064
5,7,roc_auc,binary,0.9808011640179801,5,0.0020675799970293093
5,8,roc_auc,binary,0.9807737809680086,5,0.0027962121700272685
5,9,roc_auc,binary,0.9808945340934703,5,0.0027069462306505455
5,10,roc_auc,binary,0.9810989244317914,5,0.0024252627291702225
6,1,roc_auc,binary,0.9816936407000962,5,0.0019109408549314668
6,2,roc_auc,binary,0.9815100119331762,5,0.0019030092591087067
6,3,roc_auc,binary,0.9816736836880128,5,0.001966062191512813
6,4,roc_auc,binary,0.9822605182493447,5,0.002238112843176191
6,5,roc_auc,binary,0.9816244497141444,5,0.0019312246025288498
6,6,roc_auc,binary,0.9813819395486787,5,0.001949269823296846
6,7,roc_auc,binary,0.9815731082707579,5,0.001988213601098228
6,8,roc_auc,binary,0.9809113084860194,5,0.001947599672639097
6,9,roc_auc,binary,0.9810037458824409,5,0.0022254400841542855
6,10,roc_auc,binary,0.981696232318017,5,0.0022038163933907604
7,1,roc_auc,binary,0.9808975955829556,5,0.0015676693872303789
7,2,roc_auc,binary,0.9814239468398838,5,0.0016926201269990735
7,3,roc_auc,binary,0.9811981399058519,5,0.0022238382522120456
7,4,roc_auc,binary,0.9817046266527106,5,0.0023790470751222387
7,5,roc_auc,binary,0.982061667175517,5,0.002336790439954624
7,6,roc_auc,binary,0.9811649684159458,5,0.002087029305955238
7,7,roc_auc,binary,0.9820205712224819,5,0.0025143534690771708
7,8,roc_auc,binary,0.9816534632236501,5,0.0023469839742868803
7,9,roc_auc,binary,0.9806255237368854,5,0.002650941235910607
7,10,roc_auc,binary,0.9807887113433191,5,0.0026522747613136424
8,1,roc_auc,binary,0.9796367008533885,5,0.001991872547322885
8,2,roc_auc,binary,0.9795711053999,5,0.0020370268942153536
8,3,roc_auc,binary,0.9795949071942464,5,0.001997376692074148
8,4,roc_auc,binary,0.9797759941634621,5,0.0021180664899579774
8,5,roc_auc,binary,0.980165843083462,5,0.002212461652175894
8,6,roc_auc,binary,0.9807032799334376,5,0.0019435657192389444
8,7,roc_auc,binary,0.980449833635574,5,0.0020773690319581045
8,8,roc_auc,binary,0.9808118082187808,5,0.0021881872702602372
8,9,roc_auc,binary,0.9803640035152431,5,0.0024217019052624744
8,10,roc_auc,binary,0.9806801189609212,5,0.002401073133463268
9,1,roc_auc,binary,0.9797948546846303,5,0.0017522029666411692
9,2,roc_auc,binary,0.9804038605807741,5,0.001881712522310972
9,3,roc_auc,binary,0.9805823203143322,5,0.0018761246149751505
9,4,roc_auc,binary,0.980522299743074,5,0.002035320077136498
9,5,roc_auc,binary,0.9805180776656189,5,0.002034695052140679
9,6,roc_auc,binary,0.9803842453205045,5,0.0020871086015216943
9,7,roc_auc,binary,0.9804704243310682,5,0.002263819860670574
9,8,roc_auc,binary,0.9805260163312276,5,0.002460526623998663
9,9,roc_auc,binary,0.9800027693942994,5,0.002734596050181465
9,10,roc_auc,binary,0.9800456239266198,5,0.002401564388382905
10,1,roc_auc,binary,0.98026638288298,5,0.0023687398572186788
10,2,roc_auc,binary,0.9803074147389604,5,0.0024241536482722255
10,3,roc_auc,binary,0.9801623329889522,5,0.002361383763890818
10,4,roc_auc,binary,0.9803684036070242,5,0.0024923848060830634
10,5,roc_auc,binary,0.9800764672508845,5,0.002380507396062877
10,6,roc_auc,binary,0.9801437999427594,5,0.0025737489705408537
10,7,roc_auc,binary,0.9799751869891034,5,0.002569579669879542
10,8,roc_auc,binary,0.9802767422906026,5,0.002669624356106209
10,9,roc_auc,binary,0.9802814841341974,5,0.0027460072085564078
10,10,roc_auc,binary,0.9800914545848305,5,0.00271284169253328
