hidden_units,epochs,.iter,.metric,.estimator,mean,n,std_err
5,10,2,roc_auc,binary,0.9800048626613378,5,0.0026113221041977656
5,12,0,roc_auc,binary,0.9800048697997569,5,0.0027353085834402944
5,20,10,roc_auc,binary,0.9805709712690054,5,0.002052239668468245
6,13,5,roc_auc,binary,0.9805583477184375,5,0.002444981374877533
7,16,0,roc_auc,binary,0.9810292707126941,5,0.002855790450631626
8,19,6,roc_auc,binary,0.980889293898993,5,0.002312546738209982
9,14,3,roc_auc,binary,0.9793791464696996,5,0.002427459911246066
10,10,9,roc_auc,binary,0.9803155955159497,5,0.0028449524987321094
10,20,0,roc_auc,binary,0.9814008001442056,5,0.0022934591782482867
11,14,4,roc_auc,binary,0.9803276921619587,5,0.0019085298160270898
12,10,0,roc_auc,binary,0.9803718425404186,5,0.0026583799131487903
12,20,8,roc_auc,binary,0.9808954098882618,5,0.0027594478090689706
13,14,7,roc_auc,binary,0.9806063286023223,5,0.002532228810725311
14,14,0,roc_auc,binary,0.9806884421344997,5,0.002288878746352518
15,18,1,roc_auc,binary,0.9812316532219302,5,0.002632020782301143
